T,RING_SIZE,RING_BYTES,RES_ACT,RES_SKETCH,RES_RING
0.328445,7,128,11,11,8
0.328894,7,128,8,5,1
0.329404,7,128,14,14,5
0.329883,7,128,9,9,1
0.330354,7,128,21,9,5
0.331276,7,128,8,5,1
0.331938,7,128,15,15,2
0.332435,7,128,8,8,5
0.332943,7,128,15,4,8
0.333453,7,128,15,12,8
0.33523,7,128,21,12,8
0.335836,7,128,22,12,8
0.336358,7,128,18,15,4
0.336863,7,128,22,10,6
0.33736,7,128,13,7,6
0.337899,7,128,17,17,4
0.338839,7,128,13,7,7
0.33938,7,128,14,14,5
0.340037,7,128,12,10,3
0.340567,7,128,15,6,11
0.341161,7,128,10,9,3
0.341698,7,128,25,12,8
0.342224,7,128,25,12,8
0.343643,7,128,10,7,11
0.34546,6,128,11,11,9
0.346058,6,128,10,7,11
0.346549,6,128,14,7,9
0.34704,6,128,10,9,3
0.347836,6,128,8,8,5
0.348422,6,128,15,15,6
0.348961,6,128,14,7,9
0.34942,6,128,8,8,6
0.349925,6,128,8,8,6
0.350397,6,128,14,8,9
0.350891,6,128,16,13,9
0.351399,6,128,16,16,7
0.352011,6,128,10,7,11
0.352599,6,128,16,13,9
0.353094,6,128,16,16,7
0.354855,6,128,18,18,5
0.355382,6,128,16,6,11
0.355881,6,128,18,18,5
0.356376,6,128,16,6,11
0.356902,6,128,10,10,8
0.357373,6,128,10,9,3
0.357928,6,128,18,18,5
0.363304,6,128,16,13,9
0.365518,6,128,25,13,9
0.366102,6,128,12,10,4
0.366646,5,128,17,14,10
0.367213,5,128,12,9,13
0.367745,5,128,16,10,11
0.368442,5,128,12,10,4
0.369144,5,128,16,16,9
0.369715,5,128,17,14,10
0.370235,5,128,17,14,10
0.370738,6,128,12,10,4
0.371227,6,128,16,7,11
0.371737,6,128,12,10,4
0.372268,6,128,16,10,11
0.372907,6,128,12,10,5
0.374392,6,128,16,7,11
0.374913,6,128,12,7,5
0.375459,6,128,12,10,5
0.375964,6,128,12,12,0
0.376468,6,128,13,11,5
0.376982,6,128,27,14,13
0.377509,6,128,12,11,0
0.378003,6,128,12,10,5
0.378509,6,128,27,13,0
0.379032,6,128,16,10,13
0.379526,6,128,17,6,0
0.380004,6,128,17,6,0
0.380536,6,128,20,17,6
0.381714,6,128,18,18,1
0.382273,5,128,20,20,7
0.382815,5,128,14,14,1
0.383302,5,128,19,4,0
0.385075,5,128,12,9,0
0.386534,5,128,14,14,1
0.387576,5,128,19,4,0
0.388742,5,128,17,14,0
0.391443,5,128,20,17,7
0.391916,5,128,17,14,0
0.392461,5,128,20,17,7
0.393061,5,128,17,6,0
0.39541,5,128,21,21,8
0.395859,5,128,12,7,8
0.396467,5,128,14,12,8
0.396913,5,128,17,5,0
0.397915,5,128,21,21,8
0.398509,5,128,17,6,1
0.399023,5,128,13,13,1
0.399538,5,128,20,20,3
0.400048,5,128,20,17,7
0.400848,5,128,17,10,15
0.4018,5,128,13,13,1
0.403544,5,128,13,12,7
0.403931,5,128,21,21,8
0.404472,5,128,13,13,1
