T,RING_SIZE,RING_BYTES,RES_ACT,RES_SKETCH,RES_RING
353,3,104,4,1,0
354,3,104,5,2,0
355,3,104,6,4,11
356,3,104,7,3,12
357,3,104,3,2,10
358,3,104,5,4,1
359,3,104,6,3,1
360,3,104,8,5,9
361,3,104,4,3,9
362,3,104,7,6,0
363,3,104,8,4,2
364,3,104,5,4,10
365,3,104,7,5,1
366,3,104,7,5,1
367,3,104,5,3,9
368,3,104,7,2,1
369,3,104,8,5,1
370,3,104,6,4,10
371,3,104,4,3,1
372,3,104,6,3,1
373,3,104,3,3,6
374,3,104,8,8,10
375,3,104,7,3,12
376,3,104,4,4,9
377,3,104,6,3,2
378,3,104,1,1,1
379,3,104,8,7,11
380,3,104,5,4,1
381,3,104,7,4,3
382,3,104,6,2,10
383,3,104,5,3,11
384,3,104,8,5,10
385,3,104,7,2,1
386,3,104,5,4,1
387,3,104,6,3,11
388,3,104,7,5,11
389,3,104,5,4,10
390,3,104,8,5,1
391,3,104,4,4,2
392,3,104,7,7,11
393,3,104,9,8,2
394,3,104,6,4,3
395,3,104,8,2,11
396,3,104,6,5,2
397,3,104,5,2,7
398,3,104,8,4,11
399,3,104,6,2,1
400,3,104,6,3,2
401,3,104,4,2,2
402,3,104,8,3,2
403,3,104,7,5,2
404,3,104,9,6,3
405,3,104,7,5,11
406,3,104,7,6,2
407,3,104,8,6,12
408,3,104,7,4,12
409,3,104,8,5,13
410,3,104,5,4,12
411,3,104,7,6,3
412,3,104,5,2,10
413,3,104,7,7,3
414,3,104,5,3,11
415,3,104,8,2,2
416,3,104,6,5,3
417,3,104,7,3,12
418,3,104,6,4,3
419,3,104,6,4,2
420,3,104,8,6,4
421,3,104,6,5,12
422,3,104,5,2,11
423,3,104,5,5,10
424,3,104,9,6,11
425,3,104,6,3,12
426,3,104,8,2,12
427,3,104,8,5,4
428,3,104,9,5,13
429,3,104,9,7,5
430,3,104,7,4,4
431,3,104,7,6,4
432,3,104,5,3,3
433,3,104,5,5,3
434,3,104,7,3,3
435,3,104,5,3,3
436,3,104,9,5,3
437,3,104,9,6,4
438,3,104,4,4,2
439,3,104,6,2,1
440,3,104,9,6,12
441,3,104,8,4,12
442,3,104,8,7,3
443,3,104,8,6,3
444,3,104,8,3,13
445,3,104,6,3,12
446,3,104,7,4,4
447,3,104,8,4,13
448,3,104,5,2,12
449,3,104,5,5,3
450,3,104,7,4,13
451,3,104,9,7,4
452,3,104,4,4,8
453,3,104,7,6,13
454,3,104,9,5,2
455,3,104,9,3,4
456,3,104,7,7,5
457,3,104,9,8,5
458,3,104,8,1,13
459,3,104,9,6,5
460,3,104,9,3,5
461,3,104,8,5,5
462,3,104,6,3,14
463,3,104,9,7,3
464,3,104,9,4,14
465,3,104,9,3,4
466,3,104,8,4,6
467,3,104,8,8,11
468,3,104,6,1,5
469,3,104,6,4,13
470,3,104,10,6,3
471,3,104,9,3,14
472,3,104,8,3,4
473,3,104,7,5,14
474,3,104,7,5,11
475,3,104,10,7,14
476,3,104,10,5,12
477,3,104,7,6,3
478,3,104,8,3,4
479,3,104,5,5,9
480,3,104,7,5,4
481,3,104,6,6,5
482,3,104,9,3,4
483,3,104,10,4,5
484,3,104,9,4,5
485,3,104,7,5,4
486,3,104,7,2,6
487,3,104,7,7,6
488,3,104,9,9,12
489,3,104,3,3,13
490,3,104,7,5,13
491,3,104,8,7,4
492,3,104,5,3,13
493,3,104,9,8,14
494,3,104,7,3,5
495,3,104,4,4,14
496,3,104,8,6,13
497,3,104,10,10,13
498,3,104,11,8,15
499,3,104,11,6,14
500,3,104,9,4,6
501,3,104,10,4,6
502,3,104,8,7,7
503,3,104,8,5,5
504,3,104,11,7,4
505,3,104,9,8,14
506,3,104,12,8,5
507,3,104,8,4,13
508,3,104,8,8,6
509,3,104,5,5,15
510,3,104,8,6,14
511,3,104,5,5,14
512,3,104,5,3,7
513,3,104,10,4,5
514,3,104,6,6,16
515,3,104,9,5,5
516,3,104,10,2,7
517,3,104,9,3,14
518,3,104,6,3,14
519,3,104,11,5,6
520,3,104,10,6,6
521,3,104,7,3,7
522,3,104,8,4,15
523,3,104,8,4,5
524,3,104,8,4,15
525,3,104,8,6,15
526,3,104,5,5,5
527,3,104,10,5,16
528,3,104,6,4,14
529,3,104,9,7,15
530,3,104,9,3,14
531,3,104,8,5,15
532,3,104,10,5,6
533,3,104,7,4,14
534,3,104,8,2,15
535,3,104,10,6,5
536,3,104,12,7,15
537,3,104,10,5,8
538,3,104,10,9,16
539,3,104,12,6,7
540,3,104,9,7,16
541,3,104,11,6,17
542,3,104,6,6,10
543,3,104,9,5,15
544,3,104,11,5,6
545,3,104,11,5,7
546,3,104,10,8,7
547,3,104,11,7,6
548,3,104,6,4,7
549,3,104,10,4,8
550,3,104,10,4,15
551,3,104,11,7,7
552,3,104,8,3,7
553,3,104,8,8,9
554,3,104,7,3,16
555,3,104,12,9,16
556,3,104,10,7,12
557,3,104,9,5,16
558,3,104,7,2,13
559,3,104,11,10,17
560,3,104,11,6,8
561,3,104,9,7,6
562,3,104,8,4,7
563,3,104,9,4,16
564,3,104,7,4,16
565,3,104,7,3,11
566,3,104,12,8,8
567,3,104,10,7,8
568,3,104,6,6,6
569,3,104,6,6,6
570,3,104,8,4,7
571,3,104,10,8,6
572,3,104,11,8,14
573,3,104,12,6,8
574,3,104,11,4,6
575,3,104,9,4,8
576,3,104,9,5,16
577,3,104,9,6,15
578,3,104,8,4,6
579,3,104,8,7,16
580,3,104,9,6,7
581,3,104,11,4,15
582,3,104,11,6,8
583,3,104,9,5,17
584,3,104,8,5,9
585,3,104,11,5,9
586,3,104,10,9,16
587,3,104,10,8,16
588,3,104,8,1,9
589,3,104,11,7,7
590,3,104,7,5,17
591,3,104,11,4,14
592,3,104,8,5,7
593,3,104,9,5,16
594,3,104,9,5,8
595,3,104,12,6,8
596,3,104,9,5,7
597,3,104,8,2,12
598,3,104,8,5,16
599,3,104,8,8,7
600,3,104,9,4,9
601,3,104,10,6,17
602,3,104,10,6,17
603,3,104,13,7,8
604,3,104,9,5,8
605,3,104,12,2,9
606,3,104,13,7,9
607,3,104,10,8,9
