T,RING_SIZE,RING_BYTES,RES_ACT,RES_SKETCH,RES_RING
630,4,104,49,49,66
631,4,104,41,37,68
632,4,104,52,34,113
633,4,104,53,35,114
634,4,104,53,48,69
635,4,104,42,38,69
636,4,104,53,14,70
637,4,104,49,45,69
638,4,104,42,29,72
639,4,104,53,37,115
640,4,104,47,41,66
641,4,104,86,44,116
642,4,104,46,46,57
643,4,104,47,47,58
644,4,104,54,49,71
645,4,104,37,37,58
646,4,104,38,38,59
647,4,104,55,50,72
648,4,104,43,39,70
649,4,104,54,36,117
650,4,104,42,39,67
651,4,104,43,30,73
652,4,104,48,42,68
653,4,104,87,43,70
654,4,104,44,40,71
655,4,104,88,44,71
656,4,104,89,45,118
657,4,104,48,41,74
658,4,104,39,39,60
659,4,104,90,46,119
660,4,104,56,51,73
661,4,104,48,48,60
662,4,104,55,37,120
663,4,104,49,43,69
664,4,104,56,24,72
665,4,104,55,15,74
666,4,104,49,42,75
667,4,104,91,47,121
668,4,104,92,45,73
669,4,104,57,52,75
670,4,104,56,38,122
671,4,104,58,53,76
672,4,104,49,49,61
673,4,104,43,40,68
674,4,104,50,50,62
675,4,104,45,41,73
676,4,104,50,43,76
677,4,104,50,46,70
678,4,104,93,48,123
679,4,104,57,39,124
680,4,104,59,54,77
681,4,104,50,50,69
682,4,104,51,51,70
683,4,104,51,44,77
684,4,104,94,49,125
685,4,104,60,55,78
686,4,104,50,44,70
687,4,104,61,56,79
688,4,104,51,45,71
689,4,104,52,52,71
690,4,104,58,40,126
691,4,104,52,45,78
692,4,104,46,42,74
693,4,104,51,51,63
694,4,104,51,47,71
695,4,104,47,43,75
696,4,104,59,41,127
697,4,104,95,46,75
698,4,104,48,44,76
699,4,104,44,31,79
700,4,104,52,48,72
701,4,104,44,41,72
702,4,104,96,50,128
703,4,104,40,40,63
704,4,104,45,32,80
705,4,104,62,57,80
706,4,104,53,46,81
707,4,104,53,49,73
708,4,104,54,47,82
709,4,104,52,52,64
710,4,104,55,48,83
711,4,104,52,46,73
712,4,104,60,38,129
713,4,104,41,41,64
714,4,104,97,47,76
715,4,104,54,50,74
716,4,104,53,53,65
717,4,104,46,33,84
718,4,104,56,49,85
719,4,104,60,16,81
720,4,104,53,53,73
721,4,104,61,39,130
722,4,104,63,58,82
723,4,104,62,40,131
724,4,104,57,50,86
725,4,104,58,51,87
726,4,104,63,41,132
727,4,104,54,54,74
728,4,104,59,52,88
729,4,104,49,45,77
730,4,104,98,48,77
731,4,104,42,42,65
732,4,104,64,59,83
733,4,104,53,47,74
734,4,104,46,42,75
735,4,104,55,55,76
736,4,104,47,34,89
737,4,104,54,54,66
738,4,104,64,42,133
739,4,104,47,43,76
740,4,104,65,60,84
741,4,104,56,56,77
742,4,104,48,35,90
743,4,104,99,49,78
744,4,104,66,61,85
745,4,104,50,46,78
746,4,104,48,44,77
747,4,104,51,47,79
748,4,104,55,51,78
749,4,104,55,55,67
750,4,104,64,17,86
751,4,104,49,38,77
752,4,104,65,18,87
753,4,104,49,45,78
754,4,104,100,51,134
755,4,104,56,56,68
756,4,104,65,42,135
757,4,104,50,39,78
758,4,104,51,40,79
759,4,104,43,43,68
760,4,104,66,43,136
761,4,104,57,57,79
762,4,104,67,43,137
763,4,104,44,44,69
764,4,104,67,44,138
765,4,104,101,52,139
766,4,104,67,19,88
767,4,104,50,46,79
768,4,104,45,45,70
769,4,104,54,48,80
770,4,104,102,50,79
771,4,104,68,45,140
772,4,104,103,51,80
773,4,104,58,58,80
774,4,104,50,36,91
775,4,104,104,52,81
776,4,104,69,44,141
777,4,104,57,57,70
778,4,104,67,62,89
779,4,104,56,52,80
780,4,104,68,63,90
781,4,104,51,37,92
782,4,104,69,64,91
783,4,104,105,53,82
784,4,104,55,49,81
785,4,104,70,45,142
786,4,104,56,50,82
787,4,104,52,41,80
788,4,104,52,48,82
789,4,104,57,51,83
790,4,104,70,20,92
791,4,104,52,38,93
792,4,104,46,46,71
793,4,104,69,25,83
794,4,104,53,49,83
795,4,104,106,54,84
796,4,104,59,59,81
797,4,104,107,55,85
798,4,104,58,52,84
799,4,104,108,53,143
800,4,104,109,56,86
801,4,104,58,58,71
802,4,104,59,53,85
803,4,104,60,53,94
804,4,104,71,46,144
805,4,104,53,39,95
806,4,104,54,40,96
807,4,104,70,26,87
808,4,104,110,57,88
809,4,104,57,53,81
810,4,104,111,58,89
811,4,104,54,50,89
812,4,104,70,65,93
813,4,104,71,27,90
814,4,104,112,59,91
815,4,104,72,28,92
816,4,104,71,66,94
817,4,104,59,59,72
818,4,104,60,54,86
819,4,104,60,60,82
820,4,104,113,60,93
821,4,104,71,46,145
822,4,104,61,55,87
823,4,104,61,61,83
824,4,104,72,47,146
825,4,104,55,42,81
826,4,104,62,62,84
827,4,104,73,29,94
828,4,104,63,63,85
829,4,104,114,61,95
830,4,104,64,64,86
831,4,104,72,67,95
832,4,104,58,54,82
833,4,104,115,54,147
834,4,104,73,48,148
835,4,104,61,54,97
836,4,104,74,47,149
837,4,104,55,51,95
838,4,104,73,68,96
839,4,104,59,55,83
840,4,104,74,30,96
841,4,104,56,43,83
842,4,104,65,65,87
843,4,104,74,49,150
844,4,104,57,44,84
845,4,104,116,62,97
846,4,104,60,56,84
847,4,104,55,41,98
848,4,104,66,66,88
849,4,104,60,60,73
850,4,104,67,67,89
851,4,104,55,47,85
852,4,104,56,52,97
853,4,104,68,68,90
854,4,104,62,55,99
855,4,104,69,69,91
856,4,104,74,69,97
857,4,104,61,61,74
858,4,104,56,42,100
859,4,104,75,31,98
860,4,104,117,55,151
861,4,104,61,57,86
862,4,104,62,56,88
863,4,104,62,62,75
864,4,104,63,57,89
865,4,104,62,58,87
866,4,104,64,58,90
867,4,104,56,48,88
868,4,104,63,59,89
869,4,104,47,47,75
870,4,104,75,70,98
871,4,104,118,56,152
872,4,104,63,63,76
873,4,104,76,32,99
874,4,104,65,59,91
875,4,104,75,50,153
876,4,104,76,71,99
877,4,104,65,56,101
878,4,104,57,53,99
879,4,104,119,57,154
880,4,104,120,58,155
881,4,104,121,63,100
882,4,104,122,64,101
883,4,104,123,65,102
884,4,104,124,59,156
885,4,104,75,21,101
886,4,104,125,60,157
887,4,104,48,48,76
888,4,104,76,48,158
889,4,104,58,45,89
890,4,104,126,61,159
891,4,104,70,70,92
892,4,104,66,60,92
893,4,104,64,64,77
894,4,104,76,22,102
895,4,104,77,49,160
896,4,104,49,49,77
897,4,104,127,66,103
898,4,104,66,57,102
899,4,104,71,71,93
900,4,104,128,62,161
901,4,104,64,60,90
902,4,104,65,61,91
903,4,104,50,50,78
904,4,104,57,49,92
905,4,104,57,43,103
906,4,104,58,44,104
907,4,104,59,46,92
908,4,104,67,61,93
909,4,104,65,65,78
910,4,104,72,72,94
911,4,104,78,50,162
912,4,104,73,73,95
913,4,104,129,67,104
914,4,104,66,66,79
915,4,104,77,72,104
916,4,104,59,45,105
917,4,104,66,62,93
918,4,104,68,62,94
919,4,104,130,63,163
920,4,104,59,50,94
921,4,104,131,64,164
922,4,104,68,58,106
923,4,104,132,65,165
924,4,104,51,51,79
925,4,104,77,33,105
926,4,104,78,23,105
927,4,104,52,52,80
928,4,104,53,53,81
929,4,104,67,67,81
930,4,104,74,74,96
931,4,104,133,66,166
932,4,104,69,63,95
933,4,104,75,75,97
934,4,104,134,68,106
935,4,104,78,34,107
936,4,104,77,51,167
937,4,104,67,63,95
938,4,104,69,59,107
939,4,104,78,73,107
940,4,104,79,74,108
941,4,104,79,35,108
942,4,104,135,69,109
943,4,104,59,54,107
944,4,104,54,54,82
945,4,104,60,47,95
946,4,104,68,68,82
947,4,104,136,70,110
948,4,104,80,75,109
949,4,104,55,55,83
950,4,104,79,52,168
951,4,104,70,64,96
952,4,104,81,76,110
953,4,104,60,51,96
954,4,104,68,64,97
955,4,104,71,65,97
956,4,104,82,77,111
957,4,104,69,69,83
958,4,104,61,48,97
959,4,104,60,55,108
960,4,104,71,60,108
961,4,104,56,56,84
962,4,104,137,71,111
963,4,104,138,72,112
964,4,104,62,49,98
965,4,104,139,67,169
966,4,104,69,65,98
967,4,104,61,56,109
968,4,104,60,46,109
969,4,104,57,57,85
970,4,104,72,61,110
971,4,104,61,52,98
972,4,104,62,53,99
973,4,104,63,50,99
974,4,104,140,68,170
975,4,104,70,66,100
976,4,104,83,78,112
977,4,104,64,51,100
978,4,104,61,47,111
979,4,104,62,57,111
980,4,104,80,53,171
981,4,104,58,58,86
982,4,104,63,58,112
983,4,104,63,54,100
984,4,104,70,70,86
985,4,104,141,69,172
986,4,104,142,70,173
987,4,104,81,51,174
988,4,104,82,54,175
989,4,104,72,66,101
990,4,104,65,52,101
991,4,104,71,71,87
992,4,104,72,72,88
993,4,104,73,73,89
994,4,104,83,55,176
995,4,104,71,67,101
996,4,104,72,68,102
997,4,104,76,76,101
998,4,104,84,52,177
999,4,104,63,48,112
1000,4,104,64,55,102
1001,4,104,85,53,178
1002,4,104,86,54,179
1003,4,104,143,73,113
1004,4,104,66,53,102
1005,4,104,73,67,103
1006,4,104,74,68,104
1007,4,104,65,56,103
1008,4,104,75,69,105
1009,4,104,76,70,106
1010,4,104,87,55,180
1011,4,104,144,74,114
1012,4,104,67,54,103
1013,4,104,88,56,181
1014,4,104,74,74,90
1015,4,104,84,79,113
1016,4,104,68,55,104
1017,4,104,85,24,114
1018,4,104,59,59,90
1019,4,104,69,56,105
1020,4,104,145,75,115
1021,4,104,76,62,113
1022,4,104,77,71,107
1023,4,104,73,69,105
1024,4,104,146,71,182
